actual_sex	Rx	Ry
male	0.3378	0.3846
male	0.337	0.2222
male	0.3359	0.2143
male	0.3355	0.2857
male	0.3296	0.1538
male	0.328	0.2308
male	0.3273	0.1429
male	0.3273	0.2
male	0.3272	0.1111
male	0.3253	0.0769
male	0.3204	0.3333
male	0.3199	0.3333
male	0.3187	0.2857
male	0.3184	0.2
male	0.3168	0.2727
male	0.3154	0.1818
male	0.3143	0.2
male	0.3123	0.2
male	0.3073	0.2308
male	0.3068	0.1667
male	0.3063	0.3077
male	0.3053	0.1667
male	0.305	0.4
male	0.3042	0.2857
male	0.304	0.2308
male	0.303	0.375
male	0.2973	0.0909
male	0.2846	0.4
male	0.2792	0.1818
male	0.2717	0.4
male	0.2702	0.2
male	0.2685	0.125
male	0.258	0.4
male	0.2576	0.4
male	0.2564	0.3333
male	0.2441	0.1111
male	0.2429	0.4
male	0.2426	0.5
male	0.2405	0.2
male	0.2403	0.3333
male	0.2249	0.5
male	0.2223	0.3636
male	0.1989	0.3333
male	0.1841	0.1429
male	0.1207	0.5
female	0.8	0
female	0.8	0
female	0.8	0
female	0.8001	0
female	0.8002	0
female	0.8002	0
female	0.8002	0
female	0.8002	0
female	0.8002	0
female	0.8002	0
female	0.8003	0
female	0.8004	0
female	0.8004	0
female	0.8004	0
female	0.8004	0
female	0.8004	0
female	0.8007	0
female	0.8007	0
female	0.8007	0
female	0.8009	0
female	0.8009	0
female	0.801	0
female	0.801	0
female	0.801	0
female	0.8011	0
female	0.8011	0
female	0.8011	0
female	0.8011	0
female	0.8011	0
female	0.8011	0
female	0.8013	0
female	0.8013	0
female	0.8013	0
female	0.8013	0
female	0.8013	0
female	0.8013	0
female	0.8014	0
female	0.8014	0
female	0.8014	0
female	0.8016	0
female	0.8016	0
female	0.8016	0
female	0.8017	0
female	0.8017	0
female	0.8017	0
female	0.8018	0
female	0.8018	0
female	0.8018	0
female	0.8018	0
female	0.8018	0
female	0.8018	0
female	0.8019	0
female	0.8019	0
female	0.8019	0
female	0.802	0
female	0.802	0
female	0.802	0
female	0.8021	0
female	0.8021	0
female	0.8023	0
female	0.8023	0
female	0.8023	0
female	0.8023	0
female	0.8023	0
female	0.8023	0
female	0.8024	0
female	0.8024	0
female	0.8024	0
female	0.8024	0
female	0.8024	0
female	0.8024	0
female	0.8027	0
female	0.8027	0
female	0.8027	0
female	0.803	0
female	0.803	0
female	0.803	0
female	0.803	0
female	0.803	0
female	0.803	0
female	0.803	0
female	0.8031	0
female	0.8031	0
female	0.8031	0
female	0.8032	0
female	0.8032	0
female	0.8032	0
female	0.8032	0
female	0.8032	0
female	0.8032	0
female	0.8035	0
female	0.8035	0
female	0.8035	0
female	0.8038	0
female	0.8038	0
female	0.8038	0
female	0.8038	0
female	0.8038	0
female	0.8038	0
female	0.8039	0
female	0.8039	0
female	0.8039	0
female	0.8039	0
female	0.8042	0
female	0.8042	0
female	0.8042	0
female	0.8042	0
female	0.8042	0
female	0.8042	0
female	0.8042	0
female	0.8042	0
female	0.8042	0
female	0.8044	0
female	0.8044	0
female	0.8044	0
female	0.8044	0
female	0.8044	0
female	0.8044	0
female	0.8045	0
female	0.8048	0
female	0.8048	0
female	0.8048	0
female	0.8048	0
female	0.8048	0
female	0.8048	0
female	0.8049	0
female	0.8049	0
female	0.8049	0
female	0.8049	0
female	0.8049	0
female	0.8049	0
female	0.8049	0
female	0.8049	0
female	0.8049	0
female	0.805	0
female	0.805	0
female	0.805	0
female	0.8052	0
female	0.8052	0
female	0.8052	0
female	0.8052	0
female	0.8052	0
female	0.8052	0
female	0.8053	0
female	0.8053	0
female	0.8053	0
female	0.8053	0
female	0.8053	0
female	0.8053	0
female	0.8054	0
female	0.8054	0
female	0.8054	0
female	0.8054	0
female	0.8055	0
female	0.8055	0
female	0.8055	0
female	0.8055	0
female	0.8055	0
female	0.8055	0
female	0.8056	0
female	0.8056	0
female	0.8057	0
female	0.8057	0
female	0.8057	0
female	0.8057	0
female	0.8057	0
female	0.8058	0
female	0.8058	0
female	0.8058	0
female	0.806	0
female	0.8063	0
female	0.8064	0
female	0.8064	0
female	0.8064	0
female	0.8065	0
female	0.8065	0
female	0.8065	0
female	0.8065	0
female	0.8065	0
female	0.8065	0
female	0.8065	0
female	0.8065	0
female	0.8065	0
female	0.8066	0
female	0.8066	0
female	0.8066	0
female	0.8066	0
female	0.8068	0
female	0.8068	0
female	0.8068	0
female	0.807	0
female	0.8071	0
female	0.8071	0
female	0.8071	0
female	0.8073	0
female	0.8073	0
female	0.8073	0
female	0.8075	0
female	0.8075	0
female	0.8075	0
female	0.8076	0
female	0.8077	0
female	0.8077	0
female	0.8077	0
female	0.8078	0
female	0.8078	0
female	0.8078	0
female	0.8079	0
female	0.8079	0
female	0.8079	0
female	0.808	0
female	0.808	0
female	0.808	0
female	0.808	0
female	0.808	0
female	0.808	0
female	0.8081	0
female	0.8081	0
female	0.8081	0
female	0.8082	0
female	0.8082	0
female	0.8082	0
female	0.8083	0
female	0.8085	0
female	0.8085	0
female	0.8085	0
female	0.8087	0
female	0.8087	0
female	0.8087	0
female	0.8088	0
female	0.8088	0
female	0.8088	0
female	0.8088	0
female	0.8088	0
female	0.8088	0
female	0.8089	0
female	0.8089	0
female	0.8089	0
female	0.8089	0
female	0.8089	0
female	0.8089	0
female	0.8091	0
female	0.8091	0
female	0.8091	0
female	0.8093	0
female	0.8093	0
female	0.8093	0
female	0.8095	0
female	0.8095	0
female	0.8095	0
female	0.8096	0
female	0.8096	0
female	0.8096	0
female	0.8098	0
female	0.8098	0
female	0.8098	0
female	0.8098	0
female	0.8099	0
female	0.8099	0
female	0.8099	0
female	0.81	0
female	0.81	0
female	0.81	0
female	0.81	0
female	0.81	0
female	0.81	0
female	0.8101	0
female	0.8101	0
female	0.8101	0
female	0.8101	0
female	0.8101	0
female	0.8101	0
female	0.8103	0
female	0.8103	0
female	0.8103	0
female	0.8104	0
female	0.8106	0
female	0.8106	0
female	0.8106	0
female	0.8107	0
female	0.8107	0
female	0.8107	0
female	0.8108	0
female	0.8108	0
female	0.8108	0
female	0.8112	0
female	0.8112	0
female	0.8112	0
female	0.8113	0
female	0.8115	0
female	0.8115	0
female	0.8115	0
female	0.8118	0
female	0.8118	0
female	0.8118	0
female	0.8119	0
female	0.8119	0
female	0.8119	0
female	0.8119	0
female	0.8119	0
female	0.8119	0
female	0.812	0
female	0.812	0
female	0.812	0
female	0.8121	0
female	0.8121	0
female	0.8121	0
female	0.8121	0
female	0.8124	0
female	0.8126	0
female	0.8126	0
female	0.8126	0
female	0.8126	0
female	0.8126	0
female	0.8126	0
female	0.8128	0
female	0.8128	0
female	0.8128	0
female	0.8128	0
female	0.8128	0
female	0.8132	0
female	0.8132	0
female	0.8132	0
female	0.8132	0
female	0.8133	0
female	0.8133	0
female	0.8133	0
female	0.8134	0
female	0.8134	0
female	0.8134	0
female	0.8134	0
female	0.8134	0
female	0.8134	0
